Store ID,IP Address
5183,10.12.89.1
5184,10.11.27.1
5187,10.12.90.1
5189,10.10.184.1
5191,10.10.227.1
5195,10.12.91.1
5197,10.12.92.1
5201,10.10.223.1
5204,10.12.95.1
5205,10.12.96.1
5209,10.11.67.1
5211,10.12.98.1
5213,10.12.99.1
5214,10.10.39.1
5217,10.11.35.1
5222,10.12.101.1
5224,10.12.102.1
5225,10.12.103.1
5232,10.12.104.1
5234,10.12.106.1
5236,10.12.107.1
5238,10.12.108.1
5239,10.11.36.1
5242,10.10.108.1
5249,10.12.111.1
5250,10.12.112.1
5252,10.10.34.1
5259,10.11.134.1
5262,10.12.114.1
5267,10.12.115.1
5268,10.12.116.1
5272,10.11.70.1
5273,10.12.117.1
5277,10.12.118.1
5279,10.12.120.1
5282,10.12.122.1
5283,10.11.113.1
5285,10.10.204.1
5286,10.12.123.1
5289,10.10.68.1
5295,10.10.21.1
5297,10.10.109.1
5301,10.12.126.1
5306,10.12.127.1
5311,10.11.57.1
5312,10.12.128.1
5319,10.12.129.1
5328,10.10.249.1
5331,10.12.131.1
5340,10.11.143.1
5345,10.12.132.1
5347,10.12.133.1
5358,10.10.228.1
5366,10.12.134.1
5368,10.12.135.1
5372,10.10.22.1
5373,10.10.210.1
5379,10.12.136.1
5382,10.12.138.1
5383,10.10.38.1
5388,10.10.36.1
5396,10.10.125.1
5400,10.12.140.1
5414,10.10.70.1
5423,10.10.208.1
5424,10.11.37.1
5428,10.10.111.1
5429,10.10.182.1
5431,10.12.141.1
5437,10.10.187.1
5438,10.12.143.1
5445,10.10.226.1
5448,10.10.110.1
5456,10.12.146.1
5463,10.12.148.1
5466,10.12.149.1
5467,10.11.76.1
5468,10.10.85.1
5472,10.12.150.1
5477,10.12.152.1
5480,10.12.154.1
5481,10.10.87.1
5482,10.10.72.1
5493,10.12.158.1
5495,10.12.159.1
5501,10.12.160.1
5506,10.10.196.1
5511,10.12.161.1
5512,10.12.162.1
5514,10.12.164.1
5515,10.12.165.1
5516,10.12.166.1
5517,10.12.167.1
5518,10.12.168.1
5519,10.12.169.1
5521,10.12.171.1
5522,10.12.172.1
5523,10.12.173.1
5525,10.12.175.1
5526,10.12.176.1
5527,10.10.218.1
